         24868 function calls (23568 primitive calls) in 0.131 seconds

   Ordered by: internal time, cumulative time
   List reduced from 1229 to 200 due to restriction <200>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       28    0.055    0.002    0.057    0.002 /Users/jim.chung/opt/product_search/venv/lib/python2.7/site-packages/gevent/hub.py:635(wait)
   109/25    0.019    0.000    0.029    0.001 {__import__}
    50/12    0.002    0.000    0.006    0.000 /Users/jim.chung/opt/product_search/venv/lib/python2.7/sre_parse.py:395(_parse)
       76    0.002    0.000    0.060    0.001 /Users/jim.chung/opt/product_search/venv/lib/python2.7/site-packages/mysql/connector/network.py:234(recv_plain)
      802    0.001    0.000    0.002    0.000 /Users/jim.chung/opt/product_search/venv/lib/python2.7/sre_parse.py:193(__next)
   105/11    0.001    0.000    0.003    0.000 /Users/jim.chung/opt/product_search/venv/lib/python2.7/sre_compile.py:64(_compile)
        6    0.001    0.000    0.001    0.000 {time.strftime}
   109/25    0.001    0.000    0.030    0.001 /Users/jim.chung/opt/product_search/venv/lib/python2.7/site-packages/gevent/builtins.py:69(__import__)
    471/4    0.001    0.000    0.003    0.001 /usr/local/Cellar/python/2.7.13/Frameworks/Python.framework/Versions/2.7/lib/python2.7/copy.py:145(deepcopy)
        1    0.001    0.001    0.003    0.003 /Users/jim.chung/opt/product_search/venv/lib/python2.7/site-packages/flask/app.py:1814(preprocess_request)
       28    0.001    0.000    0.001    0.000 {method 'send' of '_socket.socket' objects}
      109    0.001    0.000    0.001    0.000 /Users/jim.chung/opt/product_search/venv/lib/python2.7/site-packages/gevent/builtins.py:46(__module_lock)
        2    0.001    0.000    0.001    0.000 {syslog.syslog}
        2    0.001    0.000    0.001    0.000 {method 'close' of 'file' objects}
      103    0.001    0.000    0.001    0.000 {method 'recv' of '_socket.socket' objects}
       76    0.001    0.000    0.058    0.001 /Users/jim.chung/opt/product_search/venv/lib/python2.7/site-packages/gevent/_socket2.py:273(recv)
        1    0.001    0.001    0.002    0.002 /Users/jim.chung/opt/product_search/venv/lib/python2.7/site-packages/mysql/connector/constants.py:25(<module>)
   150/62    0.001    0.000    0.001    0.000 /Users/jim.chung/opt/product_search/venv/lib/python2.7/sre_parse.py:151(getwidth)
  816/758    0.001    0.000    0.005    0.000 {getattr}
       29    0.001    0.000    0.001    0.000 {method 'switch' of 'greenlet.greenlet' objects}
1334/1333    0.001    0.000    0.001    0.000 {isinstance}
       81    0.000    0.000    0.001    0.000 /Users/jim.chung/opt/product_search/venv/lib/python2.7/site-packages/sqlalchemy/event/attr.py:123(update_subclass)
       28    0.000    0.000    0.001    0.000 /Users/jim.chung/opt/product_search/venv/lib/python2.7/site-packages/gevent/hub.py:887(get)
2935/2876    0.000    0.000    0.000    0.000 {len}
       28    0.000    0.000    0.002    0.000 /Users/jim.chung/opt/product_search/venv/lib/python2.7/site-packages/gevent/_socket2.py:371(sendall)
       20    0.000    0.000    0.001    0.000 /Users/jim.chung/opt/product_search/venv/lib/python2.7/site-packages/mysql/connector/conversion.py:376(row_to_python)
      675    0.000    0.000    0.002    0.000 /Users/jim.chung/opt/product_search/venv/lib/python2.7/sre_parse.py:212(get)
      440    0.000    0.000    0.001    0.000 /Users/jim.chung/opt/product_search/venv/lib/python2.7/sre_parse.py:141(__getitem__)
        1    0.000    0.000    0.004    0.004 /Users/jim.chung/opt/product_search/venv/lib/python2.7/site-packages/mysql/connector/errors.py:25(<module>)
       69    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x10cfcdc68}
       76    0.000    0.000    0.000    0.000 {method 'recv_into' of '_socket.socket' objects}
    24/11    0.000    0.000    0.002    0.000 /usr/local/Cellar/python/2.7.13/Frameworks/Python.framework/Versions/2.7/lib/python2.7/copy.py:253(_deepcopy_dict)
       30    0.000    0.000    0.000    0.000 /Users/jim.chung/opt/product_search/venv/lib/python2.7/site-packages/gevent/hub.py:626(switch)
       36    0.000    0.000    0.001    0.000 /Users/jim.chung/opt/product_search/venv/lib/python2.7/sre_compile.py:256(_optimize_charset)
     1748    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
      143    0.000    0.000    0.000    0.000 {_struct.unpack_from}
    72/13    0.000    0.000    0.000    0.000 /Users/jim.chung/opt/product_search/venv/lib/python2.7/site-packages/sqlalchemy/util/langhelpers.py:229(get_cls_kwargs)
      109    0.000    0.000    0.000    0.000 /Users/jim.chung/opt/product_search/venv/lib/python2.7/site-packages/gevent/lock.py:232(release)
        2    0.000    0.000    0.000    0.000 {method 'flush' of 'file' objects}
  260/246    0.000    0.000    0.001    0.000 {hasattr}
      4/2    0.000    0.000    0.000    0.000 /Users/jim.chung/opt/product_search/venv/lib/python2.7/site-packages/gevent/event.py:357(get)
       28    0.000    0.000    0.057    0.002 /Users/jim.chung/opt/product_search/venv/lib/python2.7/site-packages/gevent/_socket2.py:167(_wait)
       25    0.000    0.000    0.058    0.002 /Users/jim.chung/opt/product_search/venv/lib/python2.7/site-packages/mysql/connector/connection.py:239(_send_cmd)
      418    0.000    0.000    0.000    0.000 /usr/local/Cellar/python/2.7.13/Frameworks/Python.framework/Versions/2.7/lib/python2.7/weakref.py:367(__contains__)
    46/11    0.000    0.000    0.006    0.001 /Users/jim.chung/opt/product_search/venv/lib/python2.7/sre_parse.py:317(_parse_sub)
      226    0.000    0.000    0.000    0.000 /usr/local/Cellar/python/2.7.13/Frameworks/Python.framework/Versions/2.7/lib/python2.7/copy.py:267(_keep_alive)
       11    0.000    0.000    0.010    0.001 /Users/jim.chung/opt/product_search/venv/lib/python2.7/re.py:230(_compile)
       81    0.000    0.000    0.001    0.000 /Users/jim.chung/opt/product_search/venv/lib/python2.7/site-packages/sqlalchemy/event/attr.py:186(__init__)
